Local Health Integration Network (LHIN),Home Administrator,Licensee,Management Firm,Home Type,Licensed Beds,Approved Short Stay Beds,Residents’ Council,Family Council,Accreditation,Home Designated Under French Language Services Act,Additional Information,Telephone
Erie St. Clair, MS TRACEY MAXIM  ,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 99 beds,No,Yes,No,No,No,,(519) 627-1663
Central East, MR LIONEL TOWNS  ,City And County Of Peterborough,,Municipal,Home with approximately 256 beds,Yes,Yes,Yes,Yes,No,,(705) 743-4265
South East, MS SUSAN BRANT  ,The Corporation Of The County Of Frontenac,,Municipal,Home with approximately 128 beds,No,Yes,No,Yes,No,,(613) 546-4264
North Simcoe Muskoka, Ms Helen Eby  ,Huntsville District Nursing Home Inc.,,Non-Profit,Home with approximately 76 beds,No,Yes,Yes,Yes,No,,(705) 789-6011
Central East, Mr John Rankin  ,Regional Municipality Of Durham,,Municipal,Home with approximately 198 beds,No,Yes,Yes,Yes,No,,(905) 668-5851
Champlain, Ms Mary Wilson Trider  ,Almonte General Hospital,,Non-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,No,,(613) 256-2414
,,,,,,,,,,,,
Toronto Central, MR SAURABH BHATNAGAR  ,Fairview Nursing Home Limited,Specialty Care Inc.,For-Profit,Home with approximately 108 beds,No,Yes,Yes,Yes,No,,(416) 534-8829
Central West, Ms Aleksandra Grzeszczuk  ,Holland Christian Homes Inc.,,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(905) 459-3333
Central East, MS CHRISTINE KEENAN  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 67 beds,No,Yes,Yes,Yes,No,,(705) 887-2100
Erie St. Clair, MR MICHAEL FIDDICK  ,Fiddick's Nursing Home Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,No,,(519) 882-0370
Central East, Umang Khare  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 224 beds,Yes,Yes,Yes,Yes,No,,(416) 291-0222
North East, MS ANGELA PATRICK  ,Finlandia Nursing Home Limited,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,No,,(705) 524-3137
Waterloo Wellington, MR SCOTT MUMBERSON  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 240 beds,Yes,Yes,Yes,Yes,No,,(519) 576-3320
Champlain, Ms Susan Bell  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(613) 599-1991
Central East, MS CHARLENE SMITH  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 88 beds,Yes,Yes,Yes,Yes,No,,(905) 987-4702
Toronto Central, MR GARRY BUTT  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 158 beds,No,Yes,Yes,Yes,No,,(416) 285-2000
Hamilton Niagara Haldimand Brant (Hnhb), MS TAMMY SMITH  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 122 beds,No,Yes,Yes,Yes,No,,(519) 759-4666
North East, MS JOELLE LACROIX  ,Foyer Hearst - Mattice - Soins De Sante,,Non-Profit,Home with approximately 67 beds,Yes,Yes,Yes,No,No,,(705) 362-7086
,,,,,,,,,,,,
Champlain, MR BENOIT MARLEAU  ,Genesis Gardens Inc.,,For-Profit,Home with approximately 57 beds,No,Yes,Yes,Yes,No,,(613) 443-5751
Erie St. Clair, MS STACEY VAILLANCOURT  ,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(519) 326-3289
South East, MS DEBBIE LONG  ,Manorcare Partners Ii,Eldercare Management & Consulting Corp.,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,No,,(613) 396-3438
Central East, DONEATH STEWART  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 62 beds,No,Yes,Yes,Yes,No,,(705) 324-8333
Toronto Central, MS NANCY LEW  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 250 beds,Yes,Yes,Yes,Yes,No,,(416) 392-5252
Hamilton Niagara Haldimand Brant (Hnhb), MR. MATHEW STICCA  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 200 beds,No,Yes,Yes,Yes,No,,(905) 934-3321
Toronto Central, MS DEANA BENNETT  ,Shaparrall Limited,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,No,No,,(416) 259-6172
Champlain, MS. CHRISTINE SCHYF  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,No,,(613) 254-9702
Hamilton Niagara Haldimand Brant (Hnhb), MS MARA DI BIASE  ,Parkview Meadows Christian Retirement Village,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,No,,(519) 587-2448
Champlain, MS MARY ZION  ,City Of Ottawa,,Municipal,Home with approximately 180 beds,No,Yes,Yes,Yes,No,,(613) 789-5100
South West, Ms Megan Garland  ,Corporation Of The County Of Bruce,,Municipal,Home with approximately 100 beds,No,Yes,Yes,No,No,,(519) 538-1113
South West, Ms Athena Aird  ,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,Home with approximately 40 beds,No,Yes,Yes,Yes,No,,(519) 371-1441
North Simcoe Muskoka, MS SHERRY BELL  ,Corporation Of The County Of Simcoe,,Municipal,Home with approximately 143 beds,Yes,Yes,Yes,Yes,No,,(705) 549-3166
North West, MS LUCY BONANNO  ,Geraldton District Hospital,,Non-Profit,Home with approximately 19 beds,No,Yes,Yes,Yes,Yes,,(807) 854-1862
Hamilton Niagara Haldimand Brant (Hnhb), MS BETH PLATO-GILES  ,The Regional Municipality Of Niagara,,Municipal,Home with approximately 80 beds,No,Yes,Yes,Yes,No,,(905) 871-6160
Champlain, MR LAWRENCE GRANT  ,The Glebe Centre Incorporated,,Non-Profit,Home with approximately 254 beds,No,Yes,Yes,Yes,No,,(613) 238-2727
Central East, VANDA COZIER  ,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,Home with approximately 60 beds,No,Yes,No,Yes,No,,(905) 623-5731
Central East, MS MICHELLE STROUD  ,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,Home with approximately 199 beds,Yes,Yes,No,Yes,No,,(905) 623-2553
Champlain, MR STEVEN GOLDEN  ,The Corporation Of The City Of Cornwall,,Municipal,Home with approximately 132 beds,Yes,Yes,Yes,Yes,No,,(613) 933-3384
South West, Jeri Moon  ,Golden Dawn Senior Citizen Home,,Non-Profit,Home with approximately 45 beds,No,Yes,Yes,No,No,,(519) 793-3433
North East, MS CAROL HALT  ,Corporation Of The City Of Timmins,,Municipal,Home with approximately 177 beds,Yes,Yes,Yes,Yes,No,,(705) 360-2644
Central East, Ms William Detlor  ,The Corporation Of The County Of Northumberland,,Municipal,Home with approximately 151 beds,No,Yes,Yes,Yes,No,,(905) 372-8759
Waterloo Wellington, MR PAUL REKTOR  ,Golden Years Nursing Homes (Cambridge) Inc.,,For-Profit,Home with approximately 90 beds,No,Yes,Yes,No,No,,(519) 653-5493
Central, MS DEIRDRE BRITTON  ,Clurelea Ltd.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,No,,(705) 435-5722
Central West, Ms Jessica Radon  ,Holland Christian Homes Inc.,,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(905) 463-7002
Hamilton Niagara Haldimand Brant (Hnhb), Ms Janette West  ,Grace Villa Limited,Apans Health Services,For-Profit,Home with approximately 184 beds,No,Yes,No,Yes,No,,(905) 387-4812
Hamilton Niagara Haldimand Brant (Hnhb), MS JENNIFER JACOBS  ,The Corporation Of Haldimand County,,Municipal,Home with approximately 128 beds,No,Yes,Yes,Yes,No,,(905) 774-7548
Champlain, MS JENNIFER POWLEY  ,Specialty Care Ottawa Inc.,,For-Profit,Home with approximately 224 beds,No,Yes,Yes,Yes,No,,(613) 831-5701
,,,,,,,,,,,,
South West, MS SHANNON COX  ,Corporation Of The County Of Grey,,Municipal,Home with approximately 66 beds,No,Yes,Yes,No,No,,(519) 986-3010
North Simcoe Muskoka, MR PAUL TAYLOR  ,Grove Park Home For Senior Citizens,,Non-Profit,Home with approximately 143 beds,No,Yes,No,Yes,No,,(705) 726-1003
Champlain, MS DONNA PINKHAM  ,Gem Health Care Group Limited,,For-Profit,Home with approximately 90 beds,Yes,Yes,Yes,Yes,No,,(613) 432-5823
South East, MS NATASHA WILLIAMS (Acting)  ,County Of Prince Edward,,Municipal,Home with approximately 84 beds,No,Yes,Yes,Yes,No,,(613) 476-2138
South East, MS LEANNE WEIR  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 97 beds,No,Yes,Yes,Yes,No,,(613) 476-4444
Hamilton Niagara Haldimand Brant (Hnhb), MS KELLY YOUNGER  ,Schlegel Villages Inc.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,No,,(905) 527-1482
Hamilton Niagara Haldimand Brant (Hnhb), MS KAREN VERHAEGHE  ,Unger Nursing Homes Limited,,For-Profit,Home with approximately 101 beds,No,Yes,Yes,Yes,No,,(905) 631-0700
South West, MS BRENDA WEPPLER  ,Hanover Nursing Home Limited,,For-Profit,Home with approximately 41 beds,No,Yes,No,No,No,,(519) 364-3700
Hamilton Niagara Haldimand Brant (Hnhb), Ms Stephanie Galambos  ,"Diversicare Canada Management Services Co., Inc.",,For-Profit,Home with approximately 101 beds,Yes,Yes,Yes,Yes,No,,(519) 484-2431
Toronto Central, MS VILMA BUGARIN  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(416) 285-1411
Central, MS CHRISTINE LANGTON  ,Harold And Grace Baker Centre,Revera Long Term Care Inc.,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,No,,(416) 654-2889
South East, MS KATHY PLUNKETT  ,The Corporation Of The County Of Hastings,,Municipal,Home with approximately 110 beds,Yes,Yes,Yes,Yes,No,,(613) 332-2070
South East, MS DEBBIE ROLLINS  ,The Corporation Of The County Of Hastings,,Municipal,Home with approximately 253 beds,Yes,Yes,Yes,Yes,No,,(613) 968-6467
Central West, Ms Lynne Colman  ,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(905) 799-7502
Central, Ms Michelle Sattler  ,Rykka Care Centres Lp,,For-Profit,Home with approximately 269 beds,Yes,Yes,Yes,Yes,No,,(416) 745-0811
Champlain, MR MONTY DOMINGO  ,Heartwood Operating Inc.,,For-Profit,Home with approximately 118 beds,No,Yes,Yes,Yes,No,,(613) 933-7420
Hamilton Niagara Haldimand Brant (Hnhb), MRS ELENA CADDIS  ,"Benevolent Society ""heidehof"" For The Care Of The Aged",,Non-Profit,Home with approximately 106 beds,No,Yes,No,No,No,,(905) 935-3344
South East, MS LISA GIBSON  ,Gibson Holdings (Ontario) Ltd.,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,No,,(613) 384-4585
Toronto Central, MR NICHOLAS GEORGANTONIS  ,Hellenic Care For Seniors (Toronto) Inc.,,Non-Profit,Home with approximately 81 beds,No,Yes,No,Yes,No,,(416) 654-7700
Central East, MS POLI PERGANTIS  ,Hellenic Home For The Aged Inc.,,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,No,,(416) 654-7718
South West, MS KELLY KUMMERFIELD  ,Henley Place Limited,Primacare Living Solutions Inc.,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,No,,(416) 243-9019
Hamilton Niagara Haldimand Brant (Hnhb), MR. SCOTT KOZACHENKO  ,Heritage Green Nursing Home,,Non-Profit,Home with approximately 167 beds,No,Yes,Yes,Yes,No,,(905) 573-7177
Erie St. Clair, MS AMY SWORIK  ,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 140 beds,No,Yes,No,Yes,No,,(519) 979-6730
,,,,,,,,,,,,
North Simcoe Muskoka, MR JOHNATHON ENS  ,Hillcrest Village Inc.,,For-Profit,Home with approximately 164 beds,No,Yes,Yes,Yes,No,,(705) 526-3781
,,,,,,,,,,,,
Central East, MS GINA PERAGINE  ,Regional Municipality Of Durham,,Municipal,Home with approximately 300 beds,No,Yes,Yes,Yes,No,,(905) 579-1777
Central East, MR JOHN RANKIN  ,Regional Municipality Of Durham,,Municipal,Home with approximately 200 beds,No,Yes,Yes,Yes,No,,(905) 579-3313
South West, MS TRUDY GIBSON  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 90 beds,No,Yes,Yes,Yes,No,,(519) 393-5132
South East, MR JIM PARSONS  ,Hilltop Manor Nursing Home,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,No,No,,(613) 269-4707
North West, Ms Janine Black  ,St. Joseph's Care Group,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 543 beds,No,Yes,Yes,Yes,No,,(807) 625-1110
Central East, MS COLLEEN HALEY  ,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 97 beds,Yes,Yes,No,Yes,No,,(905) 885-6367
North East, MS HEATHER JAREMY-BERUBE  ,Hornepayne Community Hospital,,Non-Profit,Home with approximately 12 beds,No,No,No,Yes,Yes,,(807) 868-2442
Central West, MS MARJORIE MOSSMAN  ,Humber Valley Terrace Operating Inc.,,For-Profit,Home with approximately 158 beds,No,Yes,Yes,Yes,No,,(416) 746-7466
Erie St. Clair, MS ALINA SIRBU  ,Corporation Of The City Of Windsor,,Municipal,Home with approximately 224 beds,Yes,Yes,No,Yes,No,,(519) 253-6060
South West, MS. ANGELA STEADMAN  ,Corporation Of The County Of Huron,,Municipal,Home with approximately 64 beds,No,Yes,Yes,No,No,,(519) 887-9267
South West, MS CONNIE TOWNSEND  ,Corporation Of The County Of Huron,,Municipal,Home with approximately 120 beds,No,Yes,Yes,No,No,,(519) 482-3451
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), Ms Bahar Karimi  ,Idlewyld Manor,,Non-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,No,,(905) 574-2000
Erie St. Clair, KRYSTAL LABONTE  ,Axr Operating (National) Lp,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,No,,(519) 776-9482
,,,,,,,,,,,,
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), MS KATIE GASPARELLI  ,Six Nations Of The Grand River,Extendicare (Canada) Inc.,Non-Profit,Home with approximately 50 beds,Yes,Yes,Yes,Yes,No,,(519) 445-2224
,,,,,,,,,,,,
Toronto Central, MS OLHA VOVNYSH  ,Ukrainian Home For The Aged,,Non-Profit,Home with approximately 85 beds,No,Yes,Yes,Yes,No,,(416) 239-7364
Hamilton Niagara Haldimand Brant (Hnhb), MS DONNA MICHAELS  ,The John Noble Home,,Municipal,Home with approximately 156 beds,No,Yes,Yes,Yes,No,,(519) 756-2920
Champlain, MS CATHY BURKE  ,Kemptville District Hospital,,Non-Profit,Home with approximately 12 beds,Yes,Yes,Yes,Yes,No,,(613) 258-6133
Central East, GRACE CAMPO  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 289 beds,Yes,Yes,Yes,Yes,No,,(416) 752-8282
South West, MS TRACIE KLISHT  ,Sharon Farms & Enterprises Limited,,For-Profit,Home with approximately 126 beds,Yes,Yes,Yes,Yes,No,,(519) 455-3910
South East, Ms Melanie Rudd  ,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,Yes,No,,(613) 476-5671
Hamilton Niagara Haldimand Brant (Hnhb), MS LISA SARGENT BURTON  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 50 beds,No,Yes,Yes,Yes,No,,(905) 945-9243
Hamilton Niagara Haldimand Brant (Hnhb), MS TRACEY TAIT  ,The Regional Municipality Of Niagara,,Municipal,Home with approximately 121 beds,No,Yes,Yes,Yes,No,,(905) 892-3845
,,,,,,,,,,,,
Central East, MS HEATHER POWER  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 154 beds,No,Yes,Yes,Yes,No,,(905) 576-5181
Erie St. Clair, MS JENNIFER MIDDLETON  ,"Arch Long Term Care Lp By Its General Partner, Arch Long Term Care Mgp, By Its Partners, Arch Long Term Care Gp Inc. And Arch Capital Management Corporation",Universalcare Canada Inc.,For-Profit,Home with approximately 75 beds,Yes,Yes,Yes,Yes,No,,(519) 682-0243
,,,,,,,,,,,,
Champlain, LORI NORRIS  ,Township Of Osgoode Care Centre,,Non-Profit,Home with approximately 100 beds,Yes,Yes,Yes,No,No,,(613) 821-1034
South East, MR BILL WEAVER  ,Trent Valley Lodge Limited,,For-Profit,Home with approximately 102 beds,No,Yes,Yes,Yes,No,,(613) 392-9235
South West, Ms Emily Kussmann  ,Revera Long Term Care Inc.,,For-Profit,Home with approximately 40 beds,No,Yes,Yes,Yes,No,,(519) 396-4400
North Simcoe Muskoka, MS TANYA DEVRIES-PORTER  ,Corporation Of The County Of Simcoe,,Municipal,Home with approximately 122 beds,Yes,Yes,Yes,Yes,No,,(705) 325-1504
South East, MS ASHLEY MILLER  ,Specialty Care East Inc.,,For-Profit,Home with approximately 190 beds,Yes,Yes,Yes,Yes,No,,(613) 547-7001
Erie St. Clair, MS KIM VANDAM  ,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 152 beds,Yes,Yes,No,Yes,No,,(519) 542-5529
Waterloo Wellington, MS DEBBY RIEPERT  ,Lutheran Homes Kitchener-waterloo,,Non-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,No,,(519) 893-6320
Toronto Central, MS HAO CHAU  ,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 187 beds,Yes,Yes,Yes,Yes,No,,(416) 397-0400
Champlain, MR VINCENT BARRY LAZORE  ,Mohawk Council Of Akwesasne,,Non-Profit,Home with approximately 50 beds,No,Yes,No,Yes,No,,(613) 932-1409
Hamilton Niagara Haldimand Brant (Hnhb), MS DONNA SPASIC  ,Unger Nursing Homes Limited,,For-Profit,Home with approximately 65 beds,No,Yes,No,Yes,No,,(905) 682-0503
Central West, Ms Catherine Schalk  ,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 159 beds,Yes,Yes,Yes,Yes,No,,(905) 459-2324
Erie St. Clair, MS CATHY McINTOSH  ,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,No,,(519) 542-9845
Waterloo Wellington, MR RALPH LINK  ,Twin Oaks Of Maryhill Inc.,,For-Profit,Home with approximately 31 beds,No,Yes,No,No,No,,(519) 648-2117
Mississauga Halton, MS BELISHA KE  ,Tyndall Nursing Home Limited,,For-Profit,Home with approximately 151 beds,No,Yes,No,Yes,No,,(905) 624-1511
Central, MS SANDY LOMASZEWYCZ  ,St. Demetrius (Ukrainian Catholic) Development Corporation,,Non-Profit,Home with approximately 152 beds,No,Yes,Yes,Yes,No,,(416) 243-7653
,,,,,,,,,,,,
Hamilton Niagara Haldimand Brant (Hnhb), MR WALTER SGUAZZIN  ,United Mennonite Home For The Aged,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,No,No,,(905) 562-7385
Hamilton Niagara Haldimand Brant (Hnhb), MS MARGARET LAMBERT  ,The Regional Municipality Of Niagara,,Municipal,Home with approximately 80 beds,No,Yes,Yes,Yes,No,,(905) 468-4208
Champlain, MS TRISHA SAMMON  ,Valley Manor Inc.,,Non-Profit,Home with approximately 90 beds,No,Yes,No,Yes,No,,(613) 756-2643
Hamilton Niagara Haldimand Brant (Hnhb), MS CINDY HARBRIDGE  ,955464 Ontario Limited,,For-Profit,Home with approximately 65 beds,Yes,Yes,Yes,Yes,No,,(905) 358-3277
South West, MR MICHAEL CARROLL  ,The Corporation Of The City Of St. Thomas,,Municipal,Home with approximately 136 beds,Yes,Yes,Yes,Yes,No,,(519) 631-1030
Central, MS ELIZABETH BRYCE  ,Advent Health Care Corporation,,Non-Profit,Home with approximately 174 beds,No,Yes,No,No,No,,(416) 398-0555
Central West, MS LIEZLE TRINIDAD  ,Peel Housing Corporation,,Non-Profit,Home with approximately 64 beds,No,Yes,No,Yes,No,,(905) 791-7800
Toronto Central, MS ABIOLA AWOSANYA  ,Vermont Square Ltc Inc. As General Partner Of Vermont Square Ltc Limited Partnership,Responsive Health Management,For-Profit,Home with approximately 130 beds,Yes,Yes,Yes,Yes,No,,(416) 533-9473
Hamilton Niagara Haldimand Brant (Hnhb), MS RANKA STIPANCIC  ,Mirdem Nursing Homes Ltd.,,For-Profit,Home with approximately 76 beds,No,Yes,Yes,Yes,No,,(905) 527-9111
Central East, MS PAMELA KULAS  ,The Corporation Of The City Of Kawartha Lakes,Sienna Senior Living,Municipal,Home with approximately 166 beds,Yes,Yes,Yes,Yes,No,,(705) 324-3558
North Simcoe Muskoka, MR BILL KREVER  ,Victoria Village Inc.,Specialty Care Inc.,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,No,,(705) 728-3456
,,,,,,,,,,,,
Central, Ms Fiorinta Flammia  ,Villa Colombo Seniors Centre (Vaughan) Inc.,Universalcare Canada Inc.,Non-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,No,,(289) 202-2222
